Date,Order ID,Stock Code,Stock Name,Currency,Action,Order Price,Quantity,Executed Price,Order Type
2025-01-08 00:00:00,11339143,HK 01810,XIAOMI-W,HKD,Buy,32.600,5000,32.550,Enhanced Limit Order
2025-03-13 00:00:00,11454876,HK 01810,XIAOMI-W,HKD,Buy,52.950,2000,52.950,Enhanced Limit Order
2025-03-26 00:00:00,11478629,HK 01810,XIAOMI-W,HKD,Buy,53.900,3000,53.900,Enhanced Limit Order
2025-03-28 00:00:00,11482961,HK 01810,XIAOMI-W,HKD,Buy,50.800,2000,50.800,Enhanced Limit Order
2025-04-01 00:00:00,11487338,HK 01810,XIAOMI-W,HKD,Buy,48.500,2000,48.500,Enhanced Limit Order
2025-04-01 00:00:00,11487864,HK 01810,XIAOMI-W,HKD,Buy,47.250,1000,47.250,Enhanced Limit Order
2025-04-01 00:00:00,11488653,HK 01810,XIAOMI-W,HKD,Buy,45.000,2000,45.000,Enhanced Limit Order
2025-04-03 00:00:00,11491818,HK 01810,XIAOMI-W,HKD,Buy,45.000,1000,45.000,Enhanced Limit Order
2025-04-08 00:00:00,11498994,HK 01810,XIAOMI-W,HKD,Buy,38.950,7000,38.950,Enhanced Limit Order
2025-08-07 14:04:55,20535372,HK 01810,XIAOMI-W,HKD,Buy,51.650,2000,51.650,Enhanced Limit Order
2025-08-14 15:07:25,20548486,HK 01810,XIAOMI-W,HKD,Buy,53.050,3000,53.050,Enhanced Limit Order
2025-09-29 13:28:05,20641663,HK 01810,XIAOMI-W,HKD,Buy,52.800,3400,52.750,Enhanced Limit Order
2025-10-13 09:28:00,20662684,HK 01810,XIAOMI-W,HKD,Buy,50.000,6600,49.999,Enhanced Limit Order
2025-10-13 09:31:13,20662762,HK 01810,XIAOMI-W,HKD,Buy,50.800,5000,50.300,Market Order
2025-10-15 10:31:21,20670005,HK 01810,XIAOMI-W,HKD,Buy,49.760,8000,49.580,Market Order
2025-10-21 09:45:48,20679349,HK 01810,XIAOMI-W,HKD,Buy,47.740,1000,47.740,Market Order
2025-11-19 10:08:20,20721711,HK 01810,XIAOMI-W,HKD,Buy,39.600,5000,39.600,Enhanced Limit Order
2026-01-21 09:53:29,20795515,HK 01810,XIAOMI-W,HKD,Buy,35.480,16000,35.300,Market Order
2026-01-21 14:14:57,20796408,HK 01810,XIAOMI-W,HKD,Buy,35.380,10000,35.180,Market Order
2026-01-21 14:19:51,20796453,HK 01810,XIAOMI-W,HKD,Buy,35.420,10000,35.220,Market Order
2026-01-21 15:56:46,20796924,HK 01810,XIAOMI-W,HKD,Buy,35.580,10000,35.400,Market Order
2026-02-03 10:16:40,20818704,HK 01810,XIAOMI-W,HKD,Sell,34.780,30000,34.800,Enhanced Limit Order
2026-02-04 10:05:48,20821028,HK 01810,XIAOMI-W,HKD,Sell,33.920,50000,33.940,Enhanced Limit Order
2026-02-04 14:43:09,20822118,HK 01810,XIAOMI-W,HKD,Buy,34.280,30000,34.100,Market Order
2026-02-05 15:08:15,20824306,HK 01810,XIAOMI-W,HKD,Buy,35.140,20000,34.960,Market Order
2026-02-06 14:32:45,20826291,HK 01810,XIAOMI-W,HKD,Buy,35.460,20000,35.260,Market Order
